id	title	author	authorYearOfBirth	authorYearOfDeath	publishedYear	tokensCount
openBook275	Το Σχολείο	✔ Ο αντιπρόεδρος Κώστας Στοφόρος, δημοσιογράφος – συγγραφέας. Τα υπόλοιπα μέλη ήταν οι: ✔ Νίκος Γκαμαρλιάς, νικητής Β‟ Διαγωνισμού ✔ Δρ Ευαγγελία Κανταρτζή, Πρόεδρος Μουσείου Σχολικής Ζωής και Εκπαίδευσης ✔ Ντίνα Σαρακηνού, Διευθύντρια Literature.gr			2018	26425.0
openBook276	Ο Τορκουεμάδας	Βίκτωρ Ουγκώ (Victor Hugo, 1802-1885)			1883	2.0
openBook277	Μία από τα ίδια	Γιώργος Ιατρίδης			2018	1036.0
openBook279	Ύμνος εις την Αθηνάν	Κωστής Παλαμάς (1859 – 1943)			1889	3622.0
openBook280	Το λουλούδι της ισότητας	Ευδοκία Πρασίνου			2017	2195.0
openBook281	Όταν ήμουν δάσκαλος και άλλα διάφορα διηγήματα	Ιωάννης Κονδυλάκης (1862-1920)			1916	244.0
openBook282	Μετά το διαζύγιο	Γκράτσια Ντελέντα (Grazia Deledda, 1871-1936)			2017	42799.0
openBook283	Λόγος του ’18				2019	27153.0
openBook284	Μεταφράσεις Ελλήνων 19ου – αρχές 20ου αιώνα				2014	6154.0
openBook285	Μένουν κόκκαλα	Μασαόκα Σίκι (Masaoka Shiki, 1867-1902)			2017	474.0
openBook286	Κοινωνική Ευρωπαϊκή Συλλογή Ποίησης και Τέχνης (1800 – 1950)				2008	162423.0
openBook287	Σε μία Olympia Traveller ’79	Μιχάλης Κατράκης			2018	4514.0
openBook288	Κόκκινο σπίτι	Ευθύμιος Λέντζας			2018	0.0
openBook289	Ελεύθερες εξορίες	Ηλίας Τσέχος			2019	3662.0
openBook290	Το Λεξικό του Ηγέτη				2013	13504.0
openBook291	Η Τέχνη του Πολέμου	Αντουάν-Ανρί Ζομινί (Antoine-Henri Jomini, 1779-1869)			2015	103148.0
openBook298	Ιστορία του Πελοποννησιακού Πολέμου	Θουκυδίδης (460 π.Χ. – περ. 399 π.Χ.)			2019	161729.0
openBook300	Έγκλημα στο χωριό				2013	25317.0
openBook305	Γκρίζο φεγγάρι	Σίγκα Ναόγια (Shiga Naoya, 1883-1971)			2012	1003.0
openBook306	Ένα παράξενο όνειρο	Σίγκα Ναόγια (Shiga Naoya, 1883-1971)			2012	788.0
openBook307	Ο Νόμος των διαφορετικών λέξεων	Τάκης Κουφόπουλος (1927-2019)			2006	6766.0
openBook308	Γλώσσα και Γραφή	Τάκης Κουφόπουλος (1927-2019)			2001	6499.0
openBook309	Συγκριτικά στοιχεία της Ελληνικής γλώσσας	Τάκης Κουφόπουλος (1927-2019)			1996	2367.0
openBook310	Ο Σκοτεινός – Σημειώσεις για τον Ηράκλειτο	Τάκης Κουφόπουλος (1927-2019)			1991	51892.0
openBook311	Είκοσι Ψαλμοί της Παλαιάς Διαθήκης				2003	21129.0
openBook312	Τέσσερα κουαρτέτα	T.S. Eliot (1888-1965)			2018	12534.0
openBook313	Τετάρτη των Τεφρών και άλλα ποιήματα	T.S. Eliot (1888-1965)			1964	11422.0
openBook314	Ψήγματα	Τάκης Κουφόπουλος (1927-2019)			2018	10651.0
openBook315	Ποιήματα 1942-1946	Τάκης Κουφόπουλος (1927-2019)			2009	8499.0
openBook317	Σχάσεις	Τάκης Κουφόπουλος (1927-2019)			1999	20642.0
openBook318	Διχθά	Τάκης Κουφόπουλος (1927-2019)			1996	667.0
openBook319	Η οδός	Τάκης Κουφόπουλος (1927-2019)			1963	16703.0
openBook320	Μικρές σύγχρονες ιστορίες	Τάκης Κουφόπουλος (1927-2019)			1959	12630.0
openBook332	Άπαντα Ποιήματα	Μαρία Πολυδούρη (1902-1930)			2018	14625.0
openBook333	Νάθαν ο σοφός	Γκότχολντ Εφραίμ Λέσσινγκ (Gotthold Ephraim Lessing, 1729-1781)			1779	36385.0
openBook335	Η Λίνα και η μαμά της				2016	19.0
openBook336	Δον Κιχώτης ο Μαγκήσιος	Μιγκέλ ντε Θερβάντες (Miguel de Cervantes, 1547-1616)			1864	0.0
openBook337	Ελληνική κοσμιότης ή, υποθήκαι περί του ευπρεπώς φέρεσθαι	Αρίσταρχος Χριστόπουλος			1907	191.0
openBook338	Αυνανισμού επιτομή				1777	556.0
openBook339	Ο Κρητικός	Διονύσιος Σολωμός (1798-1857)			2013	852.0
openBook340	Η Τρίχα	Διονύσιος Σολωμός (1798-1857)			2013	1222.0
openBook341	Ξεψαχνίζοντας το παρελθόν	Βασίλειος Κάππας			2019	18785.0
openBook342	Οι φωνές από δίπλα	Γιάννης Αντάμης			2018	7252.0
openBook343	Ένα έντεκα	Γιάννης Αντάμης			2018	10560.0
openBook344	Ιθάκη του Κ.Π. Καβάφη				2013	2.0
openBook345	Χιλιόμετρα κάναμε πάλι	Γιάννης Αντάμης			2018	9406.0
openBook346	Δώδεκα παιδικά διηγήματα μετά 14 εικονογραφιών				1870	136.0
openBook347	Μπαλκανμομπίλ	Γιάννης Αντάμης			2018	8504.0
openBook349	Πεζοί ρυθμοί	Ζαχαρίας Παπαντωνίου (1877-1940)			1922	120.0
openBook350	Αι ελληνίδες εταίραι	Εμίλ Ντεσανέλ (Emile Deschanel, 1819-1904)			1879	172.0
openBook351	Τα πρώτα παραμύθια	Κωστής Πασσαγιάννης			1894	100.0
openBook361	Ελληνική λογοτεχνία και διαδίκτυο: μεσολαβώντας	Κωνσταντίνος Ζυγογιάννης			2013	10629.0
openBook362	Εκλογές σε σκίτσα	Γιάννης Ιωάννου			1977	52.0
openBook363	European stories				2018	139967.0
openBook364	Ναυτικά διηγήματα	Κωνσταντίνος Ράδος (1862-1931)			1910	228.0
openBook365	Διαδίκτυο και Λογοτεχνία: Έρευνα αναγνωστικής συμπεριφοράς των χρηστών του διαδικτύου και αξιοποίησή της στη διδασκαλία της Λογοτεχνίας στη Δευτεροβάθμια Εκπαίδευση	Ειρήνη Γαμβρού			2016	84868.0
openBook366	Από το χαρτί στην οθόνη: Ζητήματα της ηλεκτρονικής λογοτεχνίας	Αγγελική Γιαννικοπούλου			2009	4015.0
openBook367	Ένα Mundial για τις φίλες μου	Νίκος Χαραλαμπόπουλος			2018	12773.0
openBook369	Ιστορική ορθογραφία: αναγκαίο κακό ή άταφος νεκρός;	Δημήτρης Καλαμπούκας			2017	73524.0
